lon,lat,dist,ir,opt
78.737,-8.8011,14.826,0.2758,0.2103
218.1589,6.9889,20.894,0.4157,0.2607
227.2951,-1.472,17.038,0.7219,0.2836
207.6772,1.2784,19.634,0.7842,0.5695
228.1362,1.8692,17.476,0.6286,0.2515
200.3682,-3.1454,19.013,0.6745,0.2088
262.4181,5.5964,13.799,0.3203,0.2175
128.3746,-4.9104,20.435,0.4069,0.2003
203.6682,0.2892,19.267,0.8414,0.2668
197.5942,-2.4004,18.831,0.7423,0.1885
139.9415,-5.194,21.198,0.4333,0.1756
159.8773,0.6374,18.996,0.8595,0.3037
245.589,-3.6952,16.673,0.4204,0.2688
262.8897,2.3835,14.217,0.3786,0.2605
172.2568,1.7113,18.406,0.8662,0.3449
209.9269,4.6044,19.868,0.5135,0.3105
230.7476,-0.6764,17.433,0.7687,0.2552
252.6258,1.1293,15.922,0.6145,0.6204
119.2868,3.5133,17.602,0.3973,0.2635
272.2514,-0.9163,15.056,0.3071,0.112
182.1354,-6.7615,18.313,0.6562,0.2798
127.7023,-1.9859,19.918,0.6801,0.0754
139.4188,3.1938,21.279,0.516,0.2617
209.4252,-1.9708,19.814,0.7332,0.1414
45.6566,-2.1652,13.429,0.2828,0.2159
106.6773,-7.1306,16.042,0.3339,0.3243
155.7977,1.9136,19.312,0.7538,0.3604
211.1846,6.5688,20.008,0.3778,0.2236
171.662,2.6019,18.422,0.8329,0.5037
231.8244,-2.381,18.003,0.6476,0.2984
215.806,8.0481,18.159,0.3371,0.2515
77.8798,-1.1485,14.111,0.3713,0.2919
282.386,1.9713,14.117,0.2819,0.1464
205.7788,-6.3032,19.452,0.4317,0.1431
217.5694,5.2738,20.827,0.4266,0.2319
72.8258,-2.2659,13.804,0.33,0.1331
143.2056,0.2341,20.718,0.7505,0.131
137.8023,6.7829,21.526,0.3634,0.2815
182.0508,-8.7592,16.695,0.4708,0.3579
200.8345,9.1958,15.909,0.3588,0.2197
186.6822,-5.0831,18.38,0.7303,0.4963
137.5702,1.0946,21.579,0.6472,0.1925
231.055,-1.7842,17.319,0.6921,0.2711
149.5595,-9.5199,15.372,0.2842,0.1798
262.3163,-3.6927,13.836,0.3235,0.1638
243.9165,0.9386,15.517,0.6189,0.3867
80.8767,-2.0133,14.618,0.3952,0.2664
149.6947,0.9718,19.909,0.7862,0.1653
187.0602,9.9305,14.742,0.3933,0.2987
243.1642,-2.08,16.167,0.545,0.3891
127.9582,3.3844,19.975,0.432,0.3438
150.6202,-2.8438,19.809,0.6678,0.1613
207.2136,-6.7708,19.588,0.3961,0.225
199.2498,1.4057,18.936,0.7345,0.0995
219.6389,-0.2364,20.27,0.7977,0.0861
94.0799,-1.618,16.098,0.5012,0.3703
